Variable_ID,Variable_Name,Table_ID,Table_Name,Unit
uk021006,Ethnic group: Asian: Pakistani,uk021,Ethnic group,Person
uk021007,Ethnic group: Asian: Other Asian,uk021,Ethnic group,Person
uk021008,"Ethnic group: Black, Caribbean or African",uk021,Ethnic group,Person
uk021009,Ethnic group: Mixed or Multiple ethnic groups,uk021,Ethnic group,Person
uk021010,Ethnic group: White,uk021,Ethnic group,Person
uk021011,Ethnic group: Other ethnic group,uk021,Ethnic group,Person
uk021012,Ethnic group: Other ethnic group: Arab,uk021,Ethnic group,Person
uk021013,Ethnic group: Other ethnic group: Any other ethnic group,uk021,Ethnic group,Person
uk023001,Multiple ethnic groups in household: Total: All households,uk023,Multiple ethnic groups in household,Household
uk023002,Multiple ethnic groups in household: One-person household,uk023,Multiple ethnic groups in household,Household
uk023003,Multiple ethnic groups in household: All household members have the same ethnic group,uk023,Multiple ethnic groups in household,Household
uk023004,Multiple ethnic groups in household: Ethnic groups differ between generations but not within partnerships,uk023,Multiple ethnic groups in household,Household
uk023005,Multiple ethnic groups in household: Ethnic groups differ within partnerships,uk023,Multiple ethnic groups in household,Household
uk023006,Multiple ethnic groups in household: Any other combination of multiple ethnic identities,uk023,Multiple ethnic groups in household,Household
uk029001,Proficiency in English language: Total: All usual residents aged 3 years and over,uk029,Proficiency in English language,Person
uk029002,Proficiency in English language: Speaks English very well or well,uk029,Proficiency in English language,Person
uk029003,Proficiency in English language: Cannot speak English well or at all,uk029,Proficiency in English language,Person
uk030001,Religion: Total: All usual residents,uk030,Religion,Person
uk030002,Religion: No religion,uk030,Religion,Person
uk030003,Religion: Christian,uk030,Religion,Person
uk030004,Religion: Hindu,uk030,Religion,Person
uk030005,Religion: Muslim,uk030,Religion,Person
uk030006,Religion: Other religion (NI 6 categories defintion),uk030,Religion,Person
uk030007,Religion: Not answered,uk030,Religion,Person
uk037001,General health: Total: All usual residents,uk037,General health,Person
uk037002,General health: Very good health,uk037,General health,Person
uk037003,General health: Good health,uk037,General health,Person
uk037004,General health: Fair health,uk037,General health,Person
uk037005,General health: Bad health,uk037,General health,Person
uk037006,General health: Very bad health,uk037,General health,Person
uk038001,Disability: Total: All usual residents,uk038,Disability,Person
uk038002,Disability: Disabled under the Equality Act,uk038,Disability,Person
uk038003,Disability: Disabled under the Equality Act: Day-to-day activities limited a lot,uk038,Disability,Person
uk038004,Disability: Disabled under the Equality Act: Day-to-day activities limited a little,uk038,Disability,Person
uk038005,Disability: Not disabled under the Equality Act,uk038,Disability,Person
uk039001,Provision of unpaid care: Total: All usual residents aged 5 and over,uk039,Provision of unpaid care,Person
uk039002,Provision of unpaid care: Provides no unpaid care,uk039,Provision of unpaid care,Person
uk039003,Provision of unpaid care: Provides 19 hours or less unpaid care a week,uk039,Provision of unpaid care,Person
uk039004,Provision of unpaid care: Provides 20 to 34 hours unpaid care a week,uk039,Provision of unpaid care,Person
